Age,Annual_Income,Credit_Score,Total_Purchase,Account_Age,Has_Defaulted
32,135293,780,74,20,1
56,98934,438,81,19,1
42,34109,330,82,21,0
60,100011,559,89,20,1
51,88947,587,74,5,0
42,121644,358,51,15,1
21,40190,401,55,17,1
59,83818,772,43,12,1
48,79993,669,48,12,0
57,74784,471,48,23,0
40,122156,696,2,1,0
56,68125,329,68,7,0
59,64933,519,92,17,1
50,92095,662,91,12,1
45,111726,839,17,15,1
45,35778,471,36,8,0
36,126724,381,27,9,0
51,69700,745,45,15,1
54,132127,422,1,8,0
62,36081,700,4,12,0
24,71342,440,91,8,0
69,128532,840,32,11,1
56,62519,528,97,29,0
63,139877,607,52,24,0
66,143260,690,5,26,1
52,82599,351,15,13,0
49,68792,444,2,11,1
65,145232,804,11,6,1
52,119432,639,21,8,1
25,50530,748,40,19,0
60,88920,507,16,21,0
38,114388,602,22,16,0
67,36894,695,33,17,0
44,32218,345,60,9,1
68,65941,420,28,1,1
40,39987,351,8,5,0
20,50132,689,50,8,1
59,46570,774,16,23,0
18,75232,569,69,12,0
46,32657,591,14,7,1
57,135215,596,50,21,1
23,143441,686,60,29,0
26,67572,672,78,11,0
27,30333,634,82,25,0
48,42955,599,32,5,1
51,67799,301,67,21,1
29,118853,801,87,4,0
52,65299,555,97,7,0
58,106445,846,47,3,0
45,66043,490,51,19,1
30,71130,537,57,26,0
41,113249,351,80,12,0
61,103093,396,57,5,1
58,69365,617,61,8,1
20,122900,436,3,10,0
40,32962,433,80,20,0
36,42386,526,88,11,0
47,37392,368,72,19,0
59,94917,589,48,10,1
52,58409,318,7,29,1
65,133146,486,39,21,1
47,112424,710,79,24,0
49,42412,365,98,4,1
52,136165,516,90,20,1
34,109008,705,39,3,0
67,113753,785,45,1,1
19,120720,300,43,29,0
29,95636,517,93,12,1
19,81739,791,67,26,1
46,105803,369,42,5,1
67,59899,800,1,22,0
18,33424,754,37,22,0
29,127173,527,8,16,0
55,141253,505,26,18,1
32,112128,840,38,21,0
61,57854,834,78,22,0
30,38108,422,71,19,0
66,107520,394,11,7,0
54,74167,789,83,12,0
67,99631,842,66,19,1
32,89138,464,42,17,1
27,70749,696,28,29,0
39,94182,805,96,8,1
69,82417,672,80,25,1
50,96611,681,51,7,1
25,37095,351,28,24,0
18,56636,524,43,13,1
64,94588,796,28,2,0
42,40748,772,93,17,1
34,124118,727,11,11,1
55,127034,518,79,21,1
34,128278,708,59,21,0
22,95710,621,72,19,1
46,117480,350,64,25,1
44,137966,747,16,28,0
56,122898,579,92,1,1
25,85365,642,86,8,0
27,112936,718,13,3,0
52,83582,665,44,8,0
20,110018,405,59,24,1
22,76481,502,68,19,1
31,41134,370,50,19,0
20,113127,708,6,3,0
45,96624,752,49,8,0
53,91241,675,66,20,0
18,106631,561,45,6,0
52,126614,381,16,17,0
24,121624,444,19,13,1
34,75626,525,82,13,0
55,72863,526,74,17,1
35,47429,593,45,1,0
56,36220,619,59,11,0
36,92299,621,63,7,0
32,54107,771,40,17,1
55,74714,630,74,1,1
18,133027,604,36,1,1
59,118981,520,85,13,1
51,40330,306,37,6,1
67,32514,361,58,24,1
31,111265,786,75,1,0
53,44469,500,64,3,1
49,83861,474,74,7,1
27,52603,823,75,2,1
30,146367,612,43,16,0
46,81205,577,7,15,0
30,64033,328,86,29,0
49,143746,655,15,8,0
48,129278,448,82,8,1
31,115876,480,86,24,0
59,149776,535,5,23,1
56,72456,409,12,12,1
45,137163,335,34,11,0
41,81878,662,12,18,0
63,31594,719,14,19,0
64,93238,726,7,4,1
40,43839,527,80,1,1
57,90158,446,73,26,0
25,118770,683,98,5,0
20,116666,839,61,8,1
43,94369,331,77,14,0
50,115082,803,91,6,1
48,53771,455,27,5,1
45,144068,553,19,8,0
59,30280,418,78,20,0
32,148607,840,27,5,0
63,113319,813,58,24,1
67,31612,773,62,5,0
39,123777,455,10,20,1
43,99592,681,2,25,0
27,35354,842,20,1,0
28,145212,391,80,11,1
24,112377,509,93,5,1
20,38629,479,27,7,0
48,134226,302,7,26,1
31,85299,352,61,13,1
32,101357,392,47,18,0
45,116216,405,74,6,1
50,85997,768,97,7,1
60,115758,627,13,10,1
36,94127,665,14,16,1
37,89963,801,78,8,1
43,138588,406,76,21,0
42,123307,590,27,8,1
60,92883,593,93,26,0
22,119039,837,65,3,0
29,44527,441,10,8,1
42,126831,792,83,5,0
68,95367,521,30,14,1
40,116478,772,53,15,0
24,117561,645,52,18,0
22,90831,407,12,10,1
33,149464,426,45,17,0
46,77046,405,9,2,1
48,88766,694,12,9,1
57,105091,533,87,7,1
66,37311,385,4,26,0
64,124359,466,95,20,1
39,66593,509,26,2,0
45,64457,847,82,16,1
23,33940,584,85,2,0
53,138885,758,30,19,1
26,64079,684,15,6,1
36,137020,638,30,22,1
64,84532,347,51,7,1
66,123827,315,37,28,0
62,146780,454,76,20,0
55,86478,464,48,17,0
69,113905,779,76,8,0
48,71968,441,22,11,1
42,32339,598,23,2,0
30,102896,629,17,29,0
60,66873,375,12,19,0
58,140929,787,3,3,1
61,71704,591,63,18,0
39,129193,704,71,13,1
46,59682,310,83,10,0
58,46976,729,17,6,0
65,32986,391,35,6,0
41,111420,408,87,3,0
46,124904,419,87,25,1
38,76797,564,20,2,0
43,110715,771,89,28,1
55,33470,587,47,14,1
23,91541,504,64,9,0
66,127221,745,61,29,1
41,84804,722,33,22,0
67,117644,357,2,1,1
22,73274,546,62,22,1
38,112183,517,50,6,0
31,144334,707,99,22,1
47,95199,669,68,18,0
68,122675,694,73,29,1
46,99618,724,13,25,1
68,81573,836,58,17,0
45,89139,444,60,18,1
46,149417,716,75,15,0
57,121830,558,90,26,0
35,130180,320,82,11,0
23,91144,645,99,17,1
37,41213,636,29,27,1
26,53510,560,45,11,1
33,51228,603,11,4,1
54,149531,471,38,21,1
66,139619,787,29,4,1
46,98824,547,56,1,0
46,56433,786,6,11,1
50,118550,738,72,5,1
60,69920,658,81,24,0
55,102118,494,72,17,1
48,136216,828,57,20,1
57,149528,550,25,22,1
44,87582,604,20,12,1
32,145950,641,17,2,0
60,125123,423,26,22,1
64,74145,593,47,6,0
23,100498,337,38,27,1
30,81381,793,4,19,1
43,142831,401,82,9,0
33,142167,336,25,24,1
47,144990,373,84,9,1
55,87256,406,92,24,1
62,146361,839,88,3,1
33,65727,345,60,22,1
46,30584,322,20,23,0
59,147964,731,76,7,1
25,46610,492,36,15,0
20,134335,689,44,29,1
64,76101,701,92,16,0
29,123399,732,70,18,0
20,132284,552,26,28,1
43,148581,620,57,3,1
54,37883,663,13,12,0
66,120411,613,79,12,1
65,134993,314,8,4,0
55,35523,659,74,21,1
21,136607,812,32,29,0
43,69130,395,58,7,1
38,47398,837,51,24,0
18,88529,347,62,17,1
18,87812,509,89,11,1
35,140463,773,59,29,1
64,68989,426,64,9,1
53,93945,563,52,21,0
38,37946,706,49,21,1
35,146500,716,98,22,0
53,99066,421,70,6,0
32,49773,775,1,5,1
68,129541,765,14,20,0
54,36057,409,91,5,1
64,58558,376,70,4,0
68,141513,359,45,14,0
60,49661,416,99,19,0
56,50953,500,42,28,0
41,131905,550,56,19,0
19,111536,427,22,6,0
18,146039,521,70,28,0
50,34006,758,28,8,1
30,125823,536,46,28,1
58,86832,815,37,17,0
44,91620,505,61,9,1
29,47943,677,39,27,0
55,134080,308,74,14,0
68,77507,467,53,12,0
43,135398,650,72,27,0
23,136210,437,88,11,0
23,117939,603,28,5,1
32,63133,762,69,25,1
41,116471,355,17,12,0
20,126487,765,95,18,0
45,146566,368,34,9,1
18,59611,379,2,22,0
53,52825,524,91,29,1
52,104638,736,28,5,0
41,125066,757,6,25,0
42,89402,378,24,13,0
69,69802,395,92,16,0
63,94854,645,95,2,0
32,80716,707,10,21,1
31,147530,344,85,25,0
66,42386,727,42,25,0
40,36386,357,38,28,0
50,92815,615,5,7,1
45,143984,438,25,10,0
26,112158,801,80,8,1
67,32854,470,85,24,0
59,66395,801,35,26,1
56,105587,333,38,18,0
37,44573,508,76,13,1
38,49602,314,76,7,1
42,81288,512,26,11,0
25,138393,604,88,8,0
45,99540,573,29,20,1
55,133718,703,87,3,1
59,59132,573,52,23,1
49,104190,843,87,20,1
55,137862,742,68,7,0
36,117522,673,25,19,1
34,94359,629,92,6,1
50,139932,814,62,27,0
27,57908,824,41,5,1
23,49035,642,36,13,0
64,55314,673,67,8,0
20,46420,666,65,18,0
34,94175,373,95,2,0
56,110040,662,72,2,1
48,101755,525,69,11,0
63,65122,795,46,29,0
68,68675,379,35,27,1
66,121204,773,39,25,0
20,37332,637,81,17,0
43,73443,445,4,8,0
50,99898,779,41,13,0
25,132875,460,77,23,1
43,113507,720,66,20,1
39,41635,310,32,5,0
54,62084,610,54,1,0
20,72381,383,91,19,0
27,115202,448,17,29,0
29,96930,605,64,5,0
53,95238,374,56,24,0
60,94281,700,16,23,0
57,114627,674,87,12,1
69,127892,813,1,19,1
47,49657,664,54,24,0
38,128162,516,69,8,1
38,62363,548,90,19,0
27,112148,683,43,12,1
25,83004,743,7,7,1
64,37178,505,88,25,0
23,106173,725,40,21,0
43,83883,446,31,26,0
37,99989,620,62,15,1
34,34206,635,20,25,0
46,78330,737,83,13,1
63,66686,599,73,12,0
36,83461,569,94,9,1
35,122622,360,45,9,1
22,61982,505,71,18,1
21,53523,363,34,2,1
59,119792,430,28,26,1
37,50340,328,66,25,1
23,84139,506,67,23,1
56,149905,440,61,4,0
28,109922,843,15,21,1
26,68045,534,4,5,1
30,63853,376,49,5,0
59,145689,753,93,12,0
52,44847,521,97,28,1
42,77231,708,73,24,1
37,129957,566,55,26,0
53,132386,734,61,29,0
52,112320,826,89,4,1
40,96428,786,90,7,0
43,98024,544,25,24,0
58,113250,513,33,9,0
41,105678,462,90,27,1
56,49214,305,9,29,1
29,76555,837,34,9,0
31,65518,484,59,1,1
56,124567,490,17,23,1
29,98452,598,3,1,1
39,100471,312,30,14,0
33,79239,329,4,13,0
22,129813,653,68,21,0
36,51446,526,45,23,0
22,117288,639,11,9,1
29,114842,435,52,14,0
61,71114,621,3,25,1
54,67790,464,37,26,1
45,112354,716,60,17,1
33,143409,671,95,21,0
19,79002,514,53,22,0
30,138408,312,62,7,0
19,125851,847,98,1,0
26,86102,535,80,21,0
43,40566,779,13,14,1
44,39922,457,10,28,0
56,42149,526,32,27,0
33,105619,593,48,26,0
69,96539,621,60,24,1
39,134649,575,4,5,1
34,72424,329,31,28,0
38,138697,703,13,16,1
45,118983,561,87,24,0
47,126841,311,97,11,1
25,61367,641,47,21,0
32,48141,591,76,21,0
29,138269,458,62,3,1
30,37636,681,13,23,1
59,96366,770,93,6,1
38,148337,801,93,29,1
55,102133,384,96,23,1
20,61577,377,84,22,1
51,34911,646,95,12,1
28,77480,480,33,2,1
26,88575,400,48,15,0
23,83954,414,26,26,1
18,132073,749,96,4,1
20,64930,682,82,24,1
59,44865,624,14,22,1
22,35673,515,97,6,0
63,53620,838,38,4,1
18,76949,310,53,23,0
53,108607,462,22,13,1
48,85539,711,71,9,0
22,43076,638,46,13,0
29,52402,444,46,23,0
62,112595,458,55,27,0
34,93381,490,45,24,0
32,82911,669,92,11,0
20,136672,396,53,9,0
67,116866,425,78,19,1
33,108692,647,37,19,0
50,30097,625,29,22,0
42,121436,389,12,10,0
18,139924,336,36,4,1
19,90999,802,82,29,0
45,42246,787,20,16,0
21,115387,669,47,14,0
65,119640,462,11,21,1
35,103074,414,74,12,0
59,49289,521,66,15,1
37,108260,767,78,28,1
62,75352,349,74,6,1
67,112983,596,42,1,1
51,113312,832,67,16,1
24,108463,682,81,17,0
41,141689,684,88,9,1
67,34663,365,35,8,0
67,109511,841,47,20,0
65,85361,689,45,8,1
26,100055,797,19,28,0
47,70734,776,98,8,0
36,103146,333,15,25,0
34,64317,682,42,21,1
52,146560,697,98,15,0
46,101180,369,47,6,1
68,125294,710,84,3,0
58,84791,594,58,3,1
56,136999,462,85,29,0
28,59605,671,3,7,1
41,78921,761,21,19,1
19,62083,566,86,9,0
63,99322,327,12,13,0
49,81403,733,67,23,0
42,43128,482,78,9,1
27,148961,745,93,18,1
49,141930,376,4,1,0
45,58870,658,70,13,1
52,39026,833,1,19,1
68,139914,634,23,26,1
69,140376,596,81,20,0
55,37261,444,16,4,0
36,124116,526,71,1,1
36,53507,826,85,11,0
69,104287,735,36,21,1
45,69033,316,65,28,0
42,145857,793,47,25,0
22,105237,539,76,13,0
19,51481,522,52,21,0
62,149617,552,3,14,1
55,58875,486,54,1,1
51,76763,381,77,13,1
41,132365,424,63,9,0
67,85890,514,29,21,0
62,81912,401,7,5,1
59,32354,602,72,2,1
50,91336,640,4,12,0
45,44734,301,67,28,1
34,80710,620,23,11,0
45,32076,722,98,2,0
30,130781,435,88,11,1
44,73374,547,34,18,0
58,138878,345,96,3,1
46,108620,668,65,20,0
40,111966,756,94,18,0
66,67007,704,60,1,1
69,41334,324,97,4,0
56,40533,488,9,17,1
38,53838,696,99,20,1
61,122107,585,89,6,0
59,139332,329,21,10,1
37,52115,579,19,28,0
64,79754,750,5,19,0
55,71557,804,41,8,1
63,100856,402,43,12,0
29,97500,376,8,4,0
55,59187,692,91,9,1
38,127642,403,94,16,0
52,110318,500,5,12,1
41,127100,598,53,21,1
19,111067,808,44,5,0
58,125350,638,96,17,1
39,115574,708,46,19,0
55,89990,308,88,4,0
25,59200,621,13,13,0
42,105388,384,24,12,0
42,110104,819,78,15,1
60,139622,745,65,22,1
37,59825,708,58,13,0
59,108230,336,49,26,1
48,55098,779,55,17,1
63,130000,385,82,28,0
45,51729,834,13,6,0
50,108222,456,15,17,1
32,68433,848,43,2,0
43,52775,626,33,13,0
31,139938,741,36,23,0
32,92027,436,11,6,0
54,53362,802,92,13,0
42,49492,592,13,7,0
21,147402,414,4,7,0
47,122602,373,58,12,1
49,65052,554,24,7,0
46,134885,572,2,9,1
30,52823,463,56,20,0
20,129489,526,98,4,1
26,125898,682,19,26,1
58,47053,309,84,13,0
33,70606,613,7,2,1
55,147797,514,41,17,0
25,139924,843,79,27,0
67,107954,694,23,7,0
36,138567,795,96,18,0
56,135682,436,9,22,1
65,83783,586,38,24,0
54,92774,805,49,20,0
66,148080,749,27,17,0
36,53077,589,80,28,0
26,117598,542,7,22,0
39,104732,633,53,26,1
22,128123,422,77,16,0
57,120633,841,34,1,1
59,122680,440,48,10,0
31,61684,477,59,29,0
58,42118,365,78,28,1
27,57093,781,28,15,1
28,46564,752,19,25,0
22,137450,735,57,17,1
61,105251,476,63,17,1
42,46112,642,5,9,1
43,44384,442,29,4,1
51,74430,636,92,22,0
36,85780,712,76,20,0
32,32695,396,2,5,0
64,96773,788,81,14,0
32,59573,482,90,7,0
25,97289,839,23,9,0
53,145497,491,15,18,0
31,124511,321,93,19,1
26,89875,469,84,5,0
56,126469,766,71,26,1
67,138223,565,8,27,1
32,131207,421,69,9,1
62,40749,837,77,8,1
35,89139,580,5,6,1
63,110582,761,66,3,0
62,73944,482,42,24,1
31,62489,657,31,25,0
41,55385,828,18,23,0
44,40453,552,43,2,1
49,72470,571,80,29,1
67,88025,804,38,24,1
41,93972,818,66,4,1
55,123813,405,82,13,0
60,66882,472,18,5,1
47,39888,579,4,24,1
63,50507,497,98,2,0
43,63015,495,69,23,0
35,41299,691,63,16,1
50,139756,343,64,14,1
44,52851,319,17,7,1
64,63675,480,81,14,1
63,44970,572,31,18,0
36,90459,518,71,3,0
42,72487,391,61,16,1
57,84761,810,41,13,0
29,112572,708,12,2,1
57,141167,367,37,23,0
24,81860,419,93,18,1
60,137356,516,36,18,0
22,87022,514,18,11,1
66,44534,339,32,4,0
57,97341,672,18,19,0
64,30475,413,59,23,1
39,83016,527,60,24,0
21,91831,313,36,20,0
27,102931,397,68,14,1
54,74753,804,53,15,0
42,93628,605,80,1,1
25,136908,832,27,10,1
50,127976,512,79,15,0
30,121935,476,14,28,0
40,55050,655,42,26,1
19,86500,472,34,23,1
25,113578,796,93,29,1
20,37117,638,73,6,0
54,53457,808,6,28,0
50,35447,529,26,18,0
38,119336,753,75,23,1
21,39878,686,20,27,0
39,97920,424,89,24,0
48,82801,565,62,10,0
53,41463,416,51,15,1
35,109263,804,36,7,0
35,37710,721,56,22,0
61,116370,357,77,27,1
49,70426,334,4,25,1
43,98710,614,74,27,1
57,55063,638,21,19,1
43,120136,839,98,16,1
47,128702,532,15,28,1
69,65692,355,19,6,0
21,49188,635,51,15,1
65,75943,530,51,26,0
38,30895,314,26,4,0
25,134110,800,76,15,1
33,55915,526,5,15,1
26,82947,639,62,11,0
41,61330,307,14,2,0
68,65615,703,70,26,0
27,55132,557,32,20,1
64,59790,319,96,19,1
19,75610,814,56,27,1
39,72580,664,53,23,1
31,140817,790,96,15,0
40,79822,329,87,11,0
45,97247,815,9,29,1
43,105717,479,50,14,0
35,133441,448,91,14,0
53,64742,709,10,26,0
50,148323,680,74,7,1
47,77517,716,62,12,1
58,107791,664,77,13,1
32,46027,802,95,10,0
39,46296,695,87,23,0
43,107371,745,12,21,0
66,67431,573,40,6,0
65,37503,727,98,22,0
37,64589,563,24,28,0
22,87503,419,78,14,1
62,94028,606,88,1,0
43,94957,574,1,6,1
42,42345,413,85,5,0
63,42822,766,92,23,1
30,138844,573,61,28,1
36,98599,842,40,4,1
53,86667,492,45,5,0
44,65927,622,52,17,0
31,136088,553,9,1,1
43,137854,470,3,10,0
18,123994,437,25,4,1
40,60713,764,83,21,1
32,41733,344,48,8,0
28,50267,632,63,8,0
57,46207,392,11,22,0
29,75501,744,41,24,0
37,92845,672,5,14,0
27,100191,698,58,26,1
53,80643,563,38,5,1
25,137577,365,53,19,0
58,82385,369,55,7,0
20,53801,416,35,19,0
45,59679,593,40,14,1
42,63013,726,77,15,1
20,37204,788,2,28,0
25,147449,658,94,11,1
39,79359,565,91,7,1
37,122775,481,67,22,0
32,34529,489,69,20,1
31,77681,315,84,11,0
51,35899,312,57,16,1
36,83806,605,94,24,0
40,136287,608,98,6,0
35,32115,639,92,15,1
29,115373,478,99,10,1
46,91390,444,1,28,0
62,68576,621,90,13,0
62,44080,430,5,26,1
20,135608,383,84,26,1
21,95066,695,11,7,1
28,38773,644,46,3,0
49,73840,578,58,21,0
62,55124,412,9,9,0
45,132011,778,73,26,0
50,102382,669,33,23,1
56,107047,543,84,17,0
68,104292,492,66,19,0
47,137483,651,24,24,0
47,100468,630,64,8,0
51,67196,547,67,28,0
59,54810,426,63,8,1
61,88634,499,72,6,0
19,89227,323,48,15,1
59,142174,739,90,6,1
67,57429,514,93,11,1
43,37715,700,40,6,0
39,73867,303,44,10,1
66,72998,326,22,3,1
63,60074,640,62,10,1
66,104236,751,8,22,1
18,58379,434,86,15,0
56,142704,542,47,20,1
25,130562,689,36,1,0
39,38610,557,80,28,1
23,85357,583,44,17,1
33,139692,558,18,12,0
31,89245,322,19,14,1
34,134912,715,48,9,0
51,104869,760,40,27,1
68,48971,633,80,19,1
48,111381,666,3,20,1
54,84137,303,94,22,0
50,129318,581,22,4,0
26,52528,320,47,28,1
62,92679,783,9,21,0
58,73381,507,2,15,0
21,110325,827,67,13,1
42,66932,765,8,13,0
32,45607,547,77,2,0
21,43820,630,2,20,0
68,63577,501,46,17,0
66,129324,763,71,2,1
53,30413,489,2,19,0
69,127577,369,65,22,1
49,36334,398,92,24,0
19,103380,481,61,25,0
18,110954,383,24,10,0
60,39652,462,13,12,0
49,130061,328,11,23,1
36,137724,593,72,12,0
20,96600,625,26,18,0
33,116426,440,63,10,0
56,40314,733,10,8,0
61,38510,436,68,28,1
57,106536,818,15,8,0
38,53691,479,44,10,0
19,140548,694,33,21,0
18,129241,749,71,29,0
63,126230,434,91,3,0
67,95024,789,21,7,0
36,63853,795,26,7,1
47,130479,461,56,23,0
62,125331,663,32,18,0
44,40758,564,65,21,0
25,140750,819,39,19,0
21,35942,501,23,13,1
39,54359,403,32,1,0
37,31634,786,63,22,1
33,84494,379,45,11,1
23,75046,401,20,10,1
21,142814,316,3,27,1
26,104061,402,13,1,0
26,137429,721,18,10,0
61,73056,612,92,13,1
61,97959,531,84,13,0
49,143818,623,68,17,0
43,55859,301,11,4,1
30,122207,461,18,25,1
26,44569,525,60,3,0
22,149505,380,14,12,0
35,145799,542,85,25,0
46,48048,790,27,25,1
55,31478,411,7,29,1
65,86493,723,57,8,1
69,65126,446,61,14,1
41,82868,632,12,23,1
24,51620,377,51,12,0
18,122205,313,67,29,1
41,41376,839,56,6,0
59,92638,503,3,3,0
40,49016,737,32,9,1
41,116830,692,23,18,1
26,124211,529,1,9,1
20,87198,336,67,13,0
36,118929,569,98,13,0
21,114886,740,93,21,0
55,38366,830,98,21,1
68,143528,391,67,9,1
32,126527,461,87,18,0
33,60777,814,86,5,0
21,43127,668,88,12,0
52,56563,690,60,2,1
35,103524,602,69,6,1
18,54115,422,6,22,0
60,66753,849,67,18,1
62,109043,355,49,9,0
60,94108,529,59,7,0
52,65987,608,86,17,0
32,46361,726,43,21,1
61,139624,548,34,27,0
62,135634,647,93,28,1
21,48053,477,61,13,1
60,75472,548,67,1,1
40,121042,569,88,20,0
59,112769,313,37,29,1
22,32294,573,14,26,1
62,42406,605,48,5,0
57,64264,478,91,14,1
59,43640,772,71,10,0
57,59714,721,49,9,1
34,138813,641,50,2,1
60,95669,808,23,24,0
21,149780,847,32,17,1
52,69429,687,66,18,0
31,62541,670,22,7,1
43,50640,416,22,17,0
56,32846,560,9,18,1
29,85873,412,86,18,0
69,63080,659,60,12,1
23,58659,608,35,17,1
68,98108,606,78,1,1
46,94418,727,14,6,0
40,69439,794,65,3,1
57,47150,535,6,9,1
27,133032,540,67,22,0
32,143544,799,99,11,1
65,132552,746,64,11,0
25,39041,634,21,15,1
19,129821,414,80,10,0
51,49093,805,8,8,1
24,31420,586,72,3,1
57,116810,503,89,26,1
37,124669,825,77,7,0
33,73467,373,21,14,1
67,33527,610,13,28,1
51,123960,713,65,3,1
65,65514,645,97,23,0
57,66994,784,90,14,1
52,75840,551,78,2,0
23,44715,625,95,15,0
38,113090,432,81,12,0
53,144163,781,74,29,0
56,44298,728,13,22,0
67,117747,489,9,25,1
35,113434,619,92,5,1
30,51217,687,46,29,0
29,83707,405,32,25,1
42,51261,374,27,24,1
49,66566,809,7,26,0
40,80761,311,61,2,0
63,98886,653,9,17,0
51,81911,666,17,5,0
42,121600,831,74,5,1
48,121799,432,74,24,0
41,61769,829,38,26,1
18,102707,706,42,15,0
41,45338,566,99,25,0
57,35484,618,97,21,1
63,43749,820,78,17,0
53,95907,500,19,3,0
63,119354,422,42,27,1
26,135749,474,59,3,0
59,131265,641,53,15,1
60,67463,683,83,21,1
32,86901,370,60,23,1
61,70513,535,61,29,1
58,75734,843,89,27,1
28,119488,464,65,13,1
47,89914,455,19,4,1
48,115093,303,5,12,0
55,120593,300,40,22,0
51,55490,378,39,19,1
63,118622,653,4,21,0
57,111564,374,49,18,0
28,42726,384,58,9,0
21,142858,609,79,13,1
31,82829,502,84,2,1
63,52391,749,49,4,0
27,64382,384,4,25,1
22,88176,834,42,4,1
62,120699,609,7,7,1
58,43432,520,70,29,1
41,72640,526,3,27,0
35,72086,496,61,29,0
18,105304,482,56,11,0
57,62338,360,41,27,1
35,124262,633,14,19,0
35,39700,824,27,9,1
50,67484,730,93,19,1
47,98915,688,54,14,1
32,137396,556,92,1,0
48,68885,304,56,9,1
56,30229,605,86,4,0
50,120198,685,40,22,0
41,51151,418,82,16,1
57,49214,556,64,17,0
18,145656,361,65,3,1
55,140969,832,6,14,1
20,38059,823,27,8,1
58,76049,682,43,9,0
60,119728,425,26,28,0
36,50063,481,5,13,1
18,70491,740,98,14,1
63,97560,484,35,9,0
36,75116,422,17,17,0
48,114678,543,28,6,0
25,44990,324,10,23,1
24,66130,318,87,23,0
50,137912,549,20,22,0
67,47692,828,11,25,0
18,100390,559,13,1,1
60,100890,448,33,13,0
58,114092,633,64,4,1
55,101374,427,73,15,0
57,110742,394,7,17,0
42,148661,760,99,11,1
58,80418,390,3,16,0
46,69709,841,82,16,0
26,38587,701,22,7,1
49,128190,566,42,13,1
22,67304,766,29,3,0
47,89539,311,48,29,0
53,47154,832,55,20,0
53,108058,584,95,13,0
66,42896,837,6,11,1
48,121621,328,62,2,1
65,50711,579,13,16,1
18,130344,707,22,9,0
69,70295,348,44,7,0
33,35046,445,85,6,1
25,49515,605,80,21,0
27,51277,674,46,14,0
42,106166,557,40,20,0
69,75927,460,75,7,0
39,51105,589,71,21,0
45,71952,332,24,20,1
69,147448,491,1,2,1
29,114865,670,69,6,1
32,81885,783,33,10,0
35,47578,837,26,19,1
58,46081,559,18,26,1
30,90932,593,53,25,0
45,140647,318,55,3,0
62,120827,350,62,14,1
18,107724,699,34,2,0
18,143477,493,44,27,0
34,68455,316,71,8,1
44,104260,509,22,22,1
35,112921,614,25,14,1
44,114053,608,87,17,1
49,37634,755,96,22,1
55,116825,778,26,21,1
26,58667,545,87,7,0
37,139177,316,66,26,0
65,75987,739,92,27,1
35,51580,589,46,18,0
57,97950,656,24,9,1
61,32848,633,68,15,0
24,82740,488,11,22,1
44,124427,625,12,29,0
41,79613,528,56,22,0
48,144728,602,18,23,0
27,119754,833,72,3,0
44,104270,319,41,16,1
66,113792,536,65,5,1
62,98299,619,93,18,1
48,87000,714,35,21,0
34,99843,826,29,4,1
44,96112,806,15,14,1
62,68535,423,53,17,1
39,101348,650,72,21,0
66,103537,502,77,1,1
35,114406,538,50,19,0
56,70529,645,52,4,1
69,83976,732,70,7,1
66,131105,812,20,26,1
24,131189,320,63,19,1
30,45323,356,24,12,1
61,30443,551,59,29,0
20,49130,373,1,11,1
69,112492,628,33,10,0
40,127746,848,21,20,1
53,110509,598,45,8,1
62,40073,461,57,2,1
32,130616,390,42,12,0
52,80001,693,70,10,0
18,40470,356,58,24,1
57,122344,845,65,24,0
56,141518,669,17,24,0
36,146155,439,31,8,0
55,113276,686,40,18,1
35,103687,327,90,20,0
54,115216,677,50,11,1
66,66991,351,30,4,0
21,74041,440,18,6,1
69,86657,799,53,1,1
69,111708,424,28,3,0
54,110695,520,20,4,0
69,104051,534,50,29,0
66,124421,499,84,23,0
21,59558,365,51,9,0
42,126700,809,8,27,0
34,142755,484,18,25,1
41,53076,385,66,15,1
40,71702,787,19,14,1
39,33864,645,73,13,0
66,82495,530,79,6,0
51,43992,704,44,3,1
48,82218,844,4,18,1
49,57080,692,38,15,0
22,122157,573,81,12,1
56,37512,310,10,19,0
25,98375,701,65,17,0
55,143259,740,87,6,0
23,100024,711,15,14,1
56,126347,758,82,2,0
30,47557,601,47,2,0
54,65680,709,40,17,0
50,134774,767,91,28,0
64,70742,798,43,17,1
58,99627,502,39,5,1
35,128580,782,42,23,0
47,119456,570,17,8,0
32,125708,429,95,12,0
53,95000,729,10,11,0
53,51237,378,86,29,1
49,55247,304,42,23,1
48,126891,641,56,17,1
66,94927,535,25,21,0
48,42350,603,2,27,0
50,147536,610,52,5,0
50,63731,640,3,23,1
38,69374,461,67,2,0
24,65105,360,68,10,1
61,120949,334,83,21,1
61,54721,325,43,6,0
28,65050,693,10,6,0
53,49438,414,60,15,1
54,45444,693,20,7,1
27,110845,656,61,10,1
56,89466,532,83,12,0
25,68640,635,65,1,1
25,41693,383,39,20,1
53,75190,453,19,28,1
21,134733,602,87,25,1
67,41056,369,69,1,0
36,84588,677,14,22,1
52,80916,741,43,6,0
37,129819,761,40,23,0
39,93866,314,63,18,1
41,115769,554,7,26,0
65,141200,522,38,12,0
18,108902,465,66,4,0
19,123374,514,55,15,0
39,83712,743,25,18,0
39,106587,617,81,17,0
57,130488,588,51,18,0
30,124145,322,76,19,0
20,77700,593,69,14,0
58,78722,470,60,17,0
56,106693,772,56,4,0
31,125547,692,46,22,0
